Marketing_Spend,R&D_Spend,Administration_Costs,Number_of_Employees,Region,Revenue,Total_Spend,Revenue_per_Employee,Profit
147273.2048,75183.72254,9317.406132,443,North America,130498.6013,231774.3335,294.5792354,-101275.7322
129323.7069,85970.24886,31691.50301,116,Europe,109548.3469,246985.4588,944.3823009,-137437.1119
178006.4848,50115.7753,95289.09099,282,Europe,142373.2957,323411.3511,504.8698429,-181038.0554
97081.91041,92716.65648,89575.05947,158,Europe,119342.5139,279373.6264,755.3323665,-160031.1125
28320.87796,14270.03499,48287.39151,195,Europe,26380.91687,90878.30446,135.2867532,-64497.38759
144082.7335,15228.74642,63912.59679,160,North America,66826.94296,223224.0767,417.6683935,-156397.1338
153353.0845,125164.0785,31351.21238,277,Asia,136310.8213,309868.3754,492.0968278,-173557.5541
114449.0535,60426.6898,22871.51017,160,Europe,85384.17349,197747.2535,533.6510843,-112363.08
155338.6001,27788.47177,49051.34847,83,North America,83783.67581,232178.4203,1009.441877,-148394.7445
101290.1413,83114.05641,38568.46166,160,Europe,88401.22479,222972.6594,552.5076549,-134571.4346
106932.9017,117799.0974,60447.33063,313,Europe,136237.453,285179.3297,435.2634281,-148941.8767
88370.49858,40214.94385,12384.79051,473,North America,88842.75028,140970.2329,187.8282247,-52127.48266
9956.729715,97204.66661,97567.50673,418,Asia,106788.4755,204728.9031,255.4748218,-97940.42756
26038.82826,21948.6451,98690.02073,285,Asia,52958.16421,146677.4941,185.81812,-93719.32988
11128.69121,17235.44096,71325.36283,132,North America,30190.06795,99689.495,228.712636,-69499.42705
129100.0302,84389.64842,55929.1548,91,Asia,87694.61817,269418.8334,963.6771227,-181724.2153
66299.41631,85688.91703,34405.12355,474,North America,107257.5756,186393.4569,226.2818051,-79135.88129
104171.2848,99240.18621,82310.52687,150,North America,122871.0019,285721.9979,819.1400127,-162850.996
181975.4624,111652.7867,70049.46139,55,North America,120435.9355,363677.7105,2189.744282,-243241.775
53611.98468,146619.2911,20448.60924,229,Asia,142707.5835,220679.885,623.1772205,-77972.30152
85024.66999,82282.04876,91538.08253,331,North America,122990.2209,258844.8013,371.5716644,-135854.5804
152332.472,55213.90621,83141.03808,369,Europe,128684.1636,290687.4163,348.7375707,-162003.2527
49615.64227,121326.0673,95230.99176,275,Asia,113511.1469,266172.7013,412.7678069,-152661.5544
20011.08242,47916.51518,73943.3533,492,Asia,100954.1518,141870.9509,205.1913654,-40916.7991
61501.53332,71455.9989,63274.44361,489,Asia,109977.7699,196231.9758,224.9034149,-86254.20593
36438.15101,20983.89339,44733.08845,364,Asia,67990.90783,102155.1329,186.7882083,-34164.22502
186291.0422,13549.10408,93609.20592,414,Europe,148385.4513,293449.3522,358.4189645,-145063.9009
162583.474,144770.7781,87276.0695,278,Asia,165455.8461,394630.3216,595.164914,-229174.4755
128513.7325,127037.2169,9295.77366,426,Asia,158025.4162,264846.7231,370.9516812,-106821.3069
174934.8151,107436.3889,7504.862577,338,North America,134468.8472,289876.0666,397.836826,-155407.2194
161716.055,67253.41222,40764.01985,486,Asia,138545.2417,269733.4871,285.0725138,-131188.2454
41381.16148,34261.20481,82002.56642,199,Europe,83554.37049,157644.9327,419.8712085,-74090.56222
179049.0047,31901.18597,98791.23228,326,Europe,115754.7703,309741.423,355.0759825,-193986.6527
110171.7372,45034.00574,19289.60465,247,Europe,102251.8305,174495.3476,413.9750223,-72243.51709
162450.8303,86891.73306,61442.41796,119,Europe,123448.0186,310784.9813,1037.378308,-187336.9627
179737.8035,110043.4292,41184.63138,161,Asia,127656.1142,330965.8641,792.8951193,-203309.7499
67010.67762,102427.6327,97141.86779,53,Asia,102370.2706,266580.1781,1931.51454,-164209.9075
26460.12528,49190.74557,85001.2977,399,Europe,99160.11441,160652.1686,248.52159,-61492.05414
49447.3567,143681.1393,84641.22695,380,Europe,147822.0217,277769.723,389.0053203,-129947.7013
88286.01878,113305.5683,49525.85018,495,Asia,126842.3126,251117.4373,256.2470962,-124275.1247
164512.8794,87609.56735,44407.85272,367,Europe,131469.7463,296530.2995,358.2281916,-165060.5532
172842.4637,95640.90447,30973.67183,399,North America,143293.7394,299457.04,359.1321789,-156163.3006
6355.665454,68744.00874,10355.67218,144,Europe,52006.40415,85455.34637,361.1555844,-33448.94222
104595.724,44682.33853,87148.62574,201,Europe,97457.23259,236426.6883,484.8618537,-138969.4557
86395.14561,59836.17501,82225.59587,360,North America,110059.7604,228456.9165,305.7215567,-118397.1561
48311.02304,116098.4555,99973.17896,186,North America,97784.72685,264382.6575,525.7243379,-166597.9307
28373.74663,12015.08841,99680.49952,296,Asia,67858.54661,140069.3346,229.2518467,-72210.78795
70834.95842,26250.16967,57766.01203,436,Asia,95635.43222,154851.1401,219.3473216,-59215.7079
188867.3923,16440.36988,78053.80444,292,North America,115290.068,283361.5666,394.829,-168071.4986
68024.57174,15702.03232,94752.74434,80,North America,66017.74381,178479.3484,825.2217976,-112461.6046
106164.1712,129764.4818,85716.50211,89,Asia,131114.8142,321645.1551,1473.20016,-190530.3409
142088.697,108512.1003,28498.06967,278,Europe,134974.974,279098.867,485.5214892,-144123.893
75907.77246,76384.33607,47801.69285,85,North America,78324.18123,200093.8014,921.4609556,-121769.6202
194497.5061,23696.78249,17270.14444,457,Asia,102742.8626,235464.433,224.8202683,-132721.5704
192677.2225,78826.22252,95634.84759,272,Europe,147840.3297,367138.2926,543.5306239,-219297.9629
54097.54769,76286.04791,62586.59027,55,North America,74467.48319,192970.1859,1353.95424,-118502.7027
101963.4586,34248.26179,26721.06652,371,Europe,92874.07016,162932.7869,250.3344209,-70058.71675
63671.27041,70739.23089,68811.56502,269,Asia,82366.62382,203222.0663,306.1956276,-120855.4425
60543.8964,65790.66282,63722.18284,124,North America,65393.37149,190056.7421,527.3658991,-124663.3706
12192.95473,96219.01373,39025.45821,53,Europe,75404.91346,147437.4267,1422.734216,-72032.51321
123865.0451,98913.11112,15787.97126,384,North America,127779.1118,238566.1275,332.7581036,-110787.0157
103022.4095,16342.56137,68799.45358,183,Europe,77953.80123,188164.4245,425.9770559,-110210.6232
15038.35649,62445.76605,54429.23159,167,Asia,63604.22005,131913.3541,380.8635931,-68309.13408
59336.06053,97620.3882,78370.24721,418,Asia,124383.4231,235326.6959,297.5679978,-110943.2728
182111.8478,80439.0762,54415.53261,143,North America,129420.037,316966.4566,905.0352238,-187546.4196
51714.56868,129908.5778,85957.24253,484,Europe,140900.5607,267580.389,291.116861,-126679.8283
33254.50006,102217.1084,57431.14968,111,North America,84633.34194,192902.7581,762.46254,-108269.4162
100443.2883,32810.81979,58289.1073,490,North America,102574.4649,191543.2154,209.3356427,-88968.75049
197201.8386,19879.62464,88282.09225,243,Europe,106712.7201,305363.5555,439.1469963,-198650.8354
52200.77794,99938.69895,43330.87229,384,Europe,109604.9361,195470.3492,285.4295211,-85865.41308
136066.4317,13711.58348,17731.4467,252,Europe,78644.24832,167509.4619,312.0803505,-88865.21356
153515.825,92008.58138,7734.35425,441,Asia,132919.2228,253258.7606,301.4041333,-120339.5378
51339.32108,141632.2338,76738.03929,75,North America,121624.0823,269709.5942,1621.654431,-148085.5119
147002.188,90566.3849,63929.40738,484,North America,141624.6573,301497.9803,292.6129283,-159873.323
76717.71088,64343.78967,71887.57797,222,Asia,89896.80725,212949.0785,404.9405732,-123052.2713
128299.637,100060.3506,25231.59534,349,Europe,124069.9749,253591.5829,355.5013607,-129521.608
128538.2936,74155.40467,17955.29018,182,Asia,111900.8273,220648.9885,614.8397104,-108748.1612
109476.0634,86386.3505,6381.743238,375,Asia,116778.6907,202244.1571,311.4098419,-85465.46644
22606.50516,141805.0732,38305.81809,459,Asia,141564.8972,202717.3965,308.4202553,-61152.49925
167883.9866,64054.36929,61042.18025,167,North America,96446.21296,292980.5361,577.5222333,-196534.3232
67552.11267,144566.6789,42263.18428,373,Asia,140972.9128,254381.9759,377.943466,-113409.0631
41371.10953,136749.0899,46560.11759,324,North America,131395.2093,224680.317,405.5407694,-93285.10772
12951.1526,37410.75887,90895.07598,261,North America,67693.5803,141256.9875,259.3623766,-73563.40715
120224.1239,19710.58212,38084.26937,274,North America,91595.18586,178018.9754,334.2889995,-86423.78953
137125.0506,24108.92019,53829.00147,69,Europe,65685.79106,215062.9723,951.9679864,-149377.1812
8234.626641,12551.05559,79447.03621,162,North America,54929.79743,100232.7184,339.0728236,-45302.92101
104858.1464,23222.01451,42671.56432,189,North America,93492.74526,170751.7252,494.6706098,-77258.97997
49166.67616,105620.9483,64098.23652,96,Europe,86352.63869,218885.861,899.506653,-132533.2223
130808.6941,19966.41078,86924.55233,50,North America,67156.69888,237699.6572,1343.133978,-170542.9583
39001.45366,54656.58824,95204.45925,139,Asia,86504.26684,188862.5012,622.332855,-102358.2343
139732.8589,128282.5435,18971.98069,191,Asia,144752.047,286987.3831,757.8641204,-142235.3361
80413.39253,13258.071,93025.82439,369,North America,81030.61787,186697.2879,219.5951704,-105666.6701
187662.3478,124025.5876,51751.04784,87,Europe,133160.7395,363438.9832,1530.583213,-230278.2437
31816.58411,49459.66847,29533.21689,342,Asia,71564.40676,110809.4695,209.2526513,-39245.06271
71507.93845,26543.07587,48617.89684,431,Europe,74103.89373,146668.9112,171.9347882,-72565.01743
27127.33664,107543.2032,98103.09465,188,Europe,91144.80203,232773.6345,484.8127768,-141628.8325
185315.2556,98051.99855,51798.71893,405,Asia,145439.7121,335165.9731,359.1104002,-189726.261
176081.1739,132846.0819,36231.40298,382,Europe,157016.5981,345158.6588,411.0382149,-188142.0607
55298.6174,112909.9461,65173.08116,308,Asia,116533.1256,233381.6447,378.3543039,-116848.5191
133696.889,122487.3303,27813.83378,210,Europe,130258.5459,283998.0531,620.27879,-153739.5072
164358.329,49484.84016,12207.01617,439,Asia,135897.127,226050.1853,309.5606538,-90153.05833
113264.1583,34841.53613,17243.57358,227,North America,67566.18985,165349.268,297.6484134,-97783.07816
108281.8628,115086.0652,17164.3547,59,Asia,109204.4864,240532.2827,1850.923498,-131327.7963
52161.19673,122956.8635,19430.75588,310,Asia,109873.8535,194548.8161,354.4317855,-84674.96261
23155.03972,148670.7199,18188.5814,456,Asia,130025.751,190014.341,285.1441908,-59988.59002
179957.0728,67766.47477,65883.10076,187,Asia,126495.9743,313606.6483,676.4490604,-187110.674
180581.5211,62082.53201,22278.60802,221,Europe,100545.1237,264942.6611,454.9553109,-164397.5374
128454.7842,118697.8145,37838.39192,435,North America,152778.1183,284990.9906,351.2140651,-132212.8723
71110.80925,57712.49564,90194.89894,62,Asia,76093.79246,219018.2038,1227.319233,-142924.4114
73095.86705,140306.0256,50026.35582,217,Europe,128712.4567,263428.2485,593.1449618,-134715.7918
146561.3574,130177.7853,68417.98516,179,North America,143533.5833,345157.1279,801.8635939,-201623.5446
179936.5007,70059.16383,21370.38776,133,North America,131138.6111,271366.0523,986.0045947,-140227.4412
177981.8527,115121.9495,23267.45679,370,North America,146232.6221,316371.259,395.223303,-170138.6369
157075.7314,115636.0024,8882.518545,368,North America,138208.2548,281594.2523,375.5659098,-143385.9975
